iter	RMSE
0	1723425.251
1	1696532.241
2	1666908.402
3	1639316.888
4	1612101.088
5	1585852.285
6	1560100.029
7	1535794.69
8	1512523.89
9	1490755.557
10	1472771.625
11	1450871.421
12	1433345.399
13	1416529.505
14	1395309.306
15	1376450.347
16	1357663.612
17	1341342.503
18	1324431.77
19	1308685.327
20	1291879.309
21	1278141.776
22	1264500.803
23	1251633.254
24	1239535.723
25	1226963.593
26	1215245.003
27	1201819.447
28	1191226.328
29	1181283.27
30	1170871.895
31	1161932.05
32	1150788.258
33	1140978.142
34	1133223.203
35	1125866.036
36	1118176.346
37	1110626.079
38	1101809.726
39	1094175.707
40	1085902.761
41	1077608.418
42	1070074.258
43	1062224.571
44	1054692.242
45	1047325.53
46	1040933.839
47	1033895.535
48	1028659.276
49	1023417.187
50	1019452.743
51	1014859.773
52	1010550.401
53	1003796.112
54	999536.9052
55	994140.1115
56	987123.6071
57	979926.9336
58	974868.3517
59	969152.079
60	965647.7904
61	961088.5594
62	959422.5013
63	955420.4391
64	951836.2187
65	947621.9038
66	943742.7557
67	941134.7525
68	936538.1995
69	932839.9024
70	927758.6461
71	925936.861
72	921935.4474
73	919061.4955
74	914905.6858
75	911074.585
76	907187.4551
77	903346.2156
78	898465.8213
79	895119.5403
80	893273.4355
81	890345.3944
82	887306.8929
83	883789.3747
84	881018.2072
85	878232.9255
86	875837.6223
87	872182.9949
88	869233.7982
89	866344.3209
90	863807.8996
91	860934.0878
92	858878.2578
93	856329.0206
94	853849.1311
95	851460.0499
96	848856.4432
97	848107.2125
98	845811.8842
99	843373.2107
100	841124.7715
101	839263.4878
102	836475.8178
103	834658.4157
104	832624.9069
105	830768.0082
106	828333.6942
107	825249.0739
108	822876.7805
109	821024.4457
110	819421.021
111	818640.3496
112	816487.2639
113	813731.5021
114	811512.9878
115	810575.8128
116	809786.8882
117	807646.8262
118	806045.9414
119	802731.0622
120	801535.2672
121	799535.5804
122	797377.9232
123	795970.7799
124	794693.5697
125	793369.4304
126	791930.5159
127	791513.6958
128	789796.5689
129	788932.819
130	786906.7224
131	785665.3517
132	783582.145
133	782054.2339
134	781370.578
135	780071.7877
136	778504.0929
137	776393.3373
138	773856.4822
139	772525.8062
140	770622.7687
141	769201.4
142	768802.704
143	767469.0635
144	765760.6856
145	763715.1584
146	762503.1929
147	762025.1126
148	760372.6762
149	759297.472
150	758253.6882
151	755931.833
152	754487.1608
153	753019.4944
154	751361.7799
155	749690.2028
156	749390.6714
157	747885.7109
158	747303.3952
159	744814.0613
160	742758.0118
161	741501.8914
162	740254.2121
163	739616.0842
164	738853.0805
165	737772.6089
166	735506.003
167	734374.6121
168	732925.4297
169	730430.6164
170	729559.9902
171	728840.3252
172	727944.6679
173	727721.3925
174	726759.5016
175	725022.3533
176	722432.6832
177	721579.0724
178	721382.9959
179	720317.8119
180	719850.7977
181	718228.1346
182	716874.1512
183	716076.2693
184	715494.8254
185	714039.0405
186	713271.6309
187	712673.7772
188	710607.9625
189	709056.9215
190	707715.0139
191	707078.2151
192	706805.8717
193	705778.7061
194	704440.9107
195	703177.132
196	702819.8558
197	701247.9537
198	700221.8164
199	699224.6324
200	698255.7627
201	698135.1839
202	697758.1716
203	696199.9056
204	694812.5457
205	694037.8686
206	692180.8063
207	691689.069
208	690764.7749
209	690426.9275
210	689903.9225
211	688906.1808
212	688330.0808
213	687401.1713
214	686368.8634
215	685914.5353
216	685417.8835
217	683606.0391
218	681875.5879
219	679963.1899
220	678334.9147
221	676704.5834
222	676240.7949
223	675068.6395
224	674940.3193
225	673853.7622
226	673103.2387
227	672056.8084
228	671480.7608
229	670675.4265
230	669063.6216
231	668404.4134
232	667259.8137
233	666785.9236
234	665908.1926
235	664467.4278
236	664358.0993
237	663298.0469
238	662035.0326
239	661305.5195
240	660083.9171
241	659745.3777
242	658970.2016
243	658497.4382
244	657500.5493
245	657184.9066
246	656834.7781
247	655585.5489
248	655325.4575
249	654609.6359
250	653181.6433
251	652915.5502
252	652469.054
253	651569.9989
254	650406.9454
255	649215.0919
256	647707.6545
257	646991.527
258	646110.956
259	645434.1442
260	645322.0517
261	645115.6959
262	644855.7851
263	643644.4252
264	642123.3877
265	640899.2036
266	640113.7613
267	639740.0319
268	639524.4802
269	638730.3413
270	638477.1873
271	637842.539
272	637444.9481
273	637081.2687
274	636017.2198
275	635824.2519
276	635184.1091
277	634235.2552
278	633111.1112
279	633006.9559
280	632041.7093
281	631685.2305
282	630443.9746
283	629648.7427
284	628660.9799
285	627412.0743
286	626494.2255
287	625902.219
288	625590.0261
289	624344.0951
290	623187.937
291	622346.2714
292	620582.8411
293	619753.8256
294	619688.4547
295	618998.8889
296	618371.2529
297	618089.0511
298	616662.9676
299	616116.0338
300	615586.0942
301	614873.436
302	614111.5092
303	613853.3176
304	613319.8379
305	612836.3244
306	612190.574
307	610700.4107
308	610141.485
309	609724.6967
310	608690.4193
311	606593.6598
312	606305.9621
313	606238.3367
314	605310.0027
315	604600.0188
316	604100.0875
317	603786.9327
318	603397.2
319	602578.0072
320	601360.6205
321	599255.2437
322	598844.5886
323	598562.0104
324	597924.1198
325	597098.4594
326	596233.1709
327	595591.3669
328	594617.5725
329	593812.3072
330	593556.2939
331	592969.0129
332	592245.3537
333	591587.4611
334	591473.0132
335	591034.2555
336	590548.9553
337	590262.2393
338	589634.7532
339	589588.505
340	589267.2129
341	588634.2755
342	588300.6706
343	587820.5166
344	587772.8552
345	587558.011
346	586997.3336
347	586764.7037
348	585972.3934
349	584141.4869
350	583731.0881
351	582755.5273
352	582386.446
353	581428.1691
354	580920.2854
355	579787.3971
356	578611.2933
357	578078.2509
358	577855.3656
359	576628.7553
360	576129.113
361	574907.3936
362	574704.3228
363	573859.1557
364	573649.8244
365	573168.9813
366	572590.9678
367	571950.4807
368	571084.7446
369	570883.04
370	570831.6659
371	570634.7668
372	569530.8089
373	569481.5643
374	569443.9557
375	568044.5249
376	567276.8007
377	566821.0568
378	566559.8419
379	565457.5149
380	564949.3806
381	564470.1697
382	564346.3717
383	563873.2854
384	563673.214
385	562964.0242
386	562546.7014
387	561307.358
388	559475.3824
389	558822.3107
390	558552.8984
391	557977.5103
392	557301.3074
393	556936.0037
394	556320.3714
395	556107.9589
396	555966.782
397	555568.0555
398	554786.8499
399	554574.634
400	554175.8236
401	553899.2153
402	552787.2402
403	552136.2232
404	550921.5247
405	550686.8667
406	550515.5379
407	550314.7108
408	549840.0337
409	549011.5144
410	548966.5538
411	548933.656
412	548228.0929
413	547703.8262
414	547317.9632
415	545661.9141
416	545340.7736
417	545299.4203
418	544319.0506
419	544284.1713
420	544102.8843
421	544066.1662
422	543909.6781
423	542427.4071
424	541400.3407
425	541310.2396
426	541073.0646
427	540910.103
428	540790.403
429	540638.919
430	540607.7272
431	540343.8635
432	539853.2364
433	539820.6497
434	539489.9587
435	539176.6266
436	538835.3872
437	537901.84
438	537869.8113
439	537663.4739
440	537279.5512
441	536992.7687
442	536956.9286
443	536381.0715
444	536198.0322
445	534909.2581
446	534744.7862
447	534241.7009
448	534082.5949
449	533246.1063
450	533217.2594
451	533193.5695
452	532815.4341
453	532790.6997
454	531279.7263
455	530185.6572
456	529864.9401
457	528470.3991
458	528329.4592
459	527426.7767
460	527405.5612
461	527282.0044
462	527120.083
463	526834.17
464	526345.4192
465	525906.0882
466	525394.1838
467	525255.3529
468	524993.7692
469	524435.5201
470	524259.9441
471	524229.4652
472	523803.4689
473	523230.2663
474	522311.1191
475	522148.5183
476	521650.8201
477	521630.3111
478	520351.7841
479	520175.8896
480	519259.9981
481	517867.3753
482	517712.662
483	517692.2911
484	517564.5609
485	517231.7707
486	516846.801
