iter	RMSE
0	1.723425251
1	1.696532242
2	1.666908402
3	1.639316889
4	1.612101089
5	1.585852286
6	1.56010003
7	1.535794691
8	1.512523892
9	1.490755559
10	1.472771627
11	1.450871423
12	1.4333454
13	1.416529507
14	1.395309308
15	1.376450349
16	1.357663613
17	1.341342504
18	1.324431771
19	1.308685329
20	1.29187931
21	1.278141777
22	1.264500804
23	1.251633254
24	1.239535723
25	1.226963592
26	1.215245003
27	1.201819446
28	1.191226327
29	1.181283269
30	1.170871894
31	1.161932049
32	1.150788256
33	1.14097814
34	1.133223201
35	1.125866035
36	1.118176344
37	1.110626077
38	1.101809723
39	1.094175704
40	1.085902759
41	1.077608415
42	1.070074255
43	1.062224567
44	1.054692239
45	1.047325527
46	1.040933836
47	1.033895531
48	1.028659272
49	1.023417183
50	1.019452739
51	1.014859769
52	1.010550396
53	1.003796108
54	0.9995369003
55	0.9941401065
56	0.9871236019
57	0.9799269283
58	0.9748683462
59	0.9691520734
60	0.9656477846
61	0.9610885535
62	0.9594224954
63	0.9554204331
64	0.9518362126
65	0.9476218975
66	0.9437427494
67	0.9411347461
68	0.9365381931
69	0.9328398959
70	0.9277586396
71	0.9259368543
72	0.9219354408
73	0.9190614887
74	0.9149056789
75	0.9110745779
76	0.907187448
77	0.9033462087
78	0.8984658143
79	0.8951195334
80	0.8932734285
81	0.8903453875
82	0.8873068861
83	0.8837893678
84	0.8810182003
85	0.8782329187
86	0.8758376153
87	0.8721829878
88	0.869233791
89	0.8663443135
90	0.8638078923
91	0.8609340804
92	0.8588782503
93	0.8563290133
94	0.8538491236
95	0.8514600423
96	0.8488564355
97	0.8481072048
98	0.8458118764
99	0.8433732029
100	0.8411247636
101	0.8392634799
102	0.8364758099
103	0.8346584078
104	0.832624899
105	0.8307680002
106	0.8283336862
107	0.8252490659
108	0.8228767725
109	0.8210244377
110	0.8194210131
111	0.8186403417
112	0.8164872558
113	0.8137314941
114	0.8115129796
115	0.8105758047
116	0.80978688
117	0.807646818
118	0.8060459331
119	0.8027310538
120	0.8015352587
121	0.799535572
122	0.7973779148
123	0.7959707715
124	0.7946935613
125	0.7933694219
126	0.7919305075
127	0.7915136874
128	0.7897965604
129	0.7889328106
130	0.7869067141
131	0.7856653433
132	0.7835821366
133	0.7820542254
134	0.7813705695
135	0.7800717791
136	0.7785040842
137	0.7763933286
138	0.7738564734
139	0.7725257974
140	0.7706227598
141	0.7692013911
142	0.7688026952
143	0.7674690547
144	0.7657606767
145	0.7637151496
146	0.7625031841
147	0.7620251038
148	0.7603726674
149	0.7592974632
150	0.7582536794
151	0.7559318242
152	0.754487152
153	0.7530194857
154	0.7513617712
155	0.7496901941
156	0.7493906627
157	0.7478857022
158	0.7473033865
159	0.7448140528
160	0.7427580034
161	0.7415018829
162	0.7402542036
163	0.7396160758
164	0.7388530721
165	0.7377726005
166	0.7355059947
167	0.7343746039
168	0.7329254215
169	0.7304306084
170	0.7295599821
171	0.7288403171
172	0.7279446599
173	0.7277213845
174	0.7267594936
175	0.7250223454
176	0.7224326754
177	0.7215790646
178	0.7213829881
179	0.720317804
180	0.7198507898
181	0.7182281268
182	0.7168741433
183	0.7160762615
184	0.7154948177
185	0.7140390327
186	0.7132716232
187	0.7126737695
188	0.7106079548
189	0.7090569139
190	0.7077150064
191	0.7070782075
192	0.7068058641
193	0.7057786985
194	0.7044409032
195	0.7031771245
196	0.7028198482
197	0.7012479463
198	0.700221809
199	0.699224625
200	0.6982557554
201	0.6981351766
202	0.6977581643
203	0.6961998984
204	0.6948125384
205	0.6940378612
206	0.6921807989
207	0.6916890616
208	0.6907647674
209	0.6904269201
210	0.6899039151
211	0.6889061734
212	0.6883300733
213	0.6874011639
214	0.6863688561
215	0.6859145279
216	0.6854178762
217	0.6836060318
218	0.6818755805
219	0.6799631827
220	0.6783349074
221	0.6767045761
222	0.6762407877
223	0.6750686324
224	0.6749403121
225	0.673853755
226	0.6731032315
227	0.6720568012
228	0.6714807536
229	0.6706754192
230	0.6690636144
231	0.6684044062
232	0.6672598066
233	0.6667859165
234	0.6659081854
235	0.6644674206
236	0.6643580921
237	0.6632980398
238	0.6620350256
239	0.6613055126
240	0.6600839102
241	0.6597453708
242	0.6589701948
243	0.6584974314
244	0.6575005425
245	0.6571848998
246	0.6568347714
247	0.6555855421
248	0.6553254508
249	0.6546096293
250	0.6531816368
251	0.6529155436
252	0.6524690474
253	0.6515699924
254	0.6504069391
255	0.6492150856
256	0.6477076483
257	0.6469915208
258	0.6461109497
259	0.645434138
260	0.6453220455
261	0.6451156897
262	0.6448557789
263	0.6436444189
264	0.6421233815
265	0.6408991975
266	0.6401137551
267	0.6397400258
268	0.6395244741
269	0.6387303352
270	0.6384771812
271	0.637842533
272	0.6374449422
273	0.6370812628
274	0.6360172139
275	0.635824246
